Базовая,Фото,Название,Артикул,Активность,Магазин,Группа,Количество,Торговое предложение,XML ID,Габариты,Артикул,Количество,Внешний ID,Активность,Закупочная цена,Закупочная цена торгового предложения,Внешний ID,Ссылка в магазине,Производитель,Вес,XML ID
95000,https://lubanikishina.com/upload/iblock/39c/gpda70i21iwcfn9j4s35ulymghiv61it.png,Брюки BADGE,TR/BADGE/black,1,Интернет магазин,Брюки,5,Брюки BADGE (42),4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/black,1,2334,1,0,0,2332,https://lubanikishina.com/catalog/bryuki/bryuki_badge_1/,,—,4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/39c/gpda70i21iwcfn9j4s35ulymghiv61it.png,Брюки BADGE,TR/BADGE/black,1,Интернет магазин,Брюки,5,Брюки BADGE (44),4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/black,2,2335,1,0,0,2332,https://lubanikishina.com/catalog/bryuki/bryuki_badge_1/,,—,4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 4e31bf0a-d702-11ef-8e23-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/b45/g2dnelpmjos5p4jj0ch63ut7hx6sykfo.jpg,Брюки BADGE,TR/BADGE/brown,1,Интернет магазин,Брюки,1,Брюки BADGE (42),51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/brown,1,2137,1,0,0,2132,https://lubanikishina.com/catalog/bryuki/bryuki_badge/,,—,51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/b45/g2dnelpmjos5p4jj0ch63ut7hx6sykfo.jpg,Брюки BADGE,TR/BADGE/brown,1,Интернет магазин,Брюки,1,Брюки BADGE (40),51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/brown,0,2141,1,0,0,2132,https://lubanikishina.com/catalog/bryuki/bryuki_badge/,,—,51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/b45/g2dnelpmjos5p4jj0ch63ut7hx6sykfo.jpg,Брюки BADGE,TR/BADGE/brown,1,Интернет магазин,Брюки,1,Брюки BADGE (44),51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/brown,0,2142,1,0,0,2132,https://lubanikishina.com/catalog/bryuki/bryuki_badge/,,—,51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
95000,https://lubanikishina.com/upload/iblock/b45/g2dnelpmjos5p4jj0ch63ut7hx6sykfo.jpg,Брюки BADGE,TR/BADGE/brown,1,Интернет магазин,Брюки,1,Брюки BADGE (46),51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,TR/BADGE/brown,0,2143,1,0,0,2132,https://lubanikishina.com/catalog/bryuki/bryuki_badge/,,—,51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 51ccb1a6-b14c-11ef-8e11-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
19000,https://lubanikishina.com/upload/iblock/27c/mj576evnbqnkqs3xrbwkrhzktg8ehbqm.jpg,Брюки CHRIS,TR/CHRIS/wine,1,Интернет магазин,Брюки,4,Брюки CHRIS (42),18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/CHRIS/wine,3,2082,1,0,0,2080,https://lubanikishina.com/catalog/bryuki/bryuki_chris/,,—,18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
19000,https://lubanikishina.com/upload/iblock/27c/mj576evnbqnkqs3xrbwkrhzktg8ehbqm.jpg,Брюки CHRIS,TR/CHRIS/wine,1,Интернет магазин,Брюки,4,Брюки CHRIS (44),18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,TR/CHRIS/wine,1,2083,1,0,0,2080,https://lubanikishina.com/catalog/bryuki/bryuki_chris/,,—,18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
19000,https://lubanikishina.com/upload/iblock/27c/mj576evnbqnkqs3xrbwkrhzktg8ehbqm.jpg,Брюки CHRIS,TR/CHRIS/wine,1,Интернет магазин,Брюки,4,Брюки CHRIS (46),18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,TR/CHRIS/wine,0,2084,1,0,0,2080,https://lubanikishina.com/catalog/bryuki/bryuki_chris/,,—,18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 18ed4fed-6f75-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
27500,https://lubanikishina.com/upload/iblock/993/vj9ukrdrty5ndh7taj71pq2zblwnr1bk.png,Брюки KEN,TR/KEN/wblack,1,Интернет магазин,Брюки,8,Брюки KEN (42),77c5d98e-b673-11f0-a138-005056b6f117#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,TR/KEN/wblack,1,2963,1,0,0,2961,https://lubanikishina.com/catalog/bryuki/bryuki_ken_1/,,—,77c5d98e-b673-11f0-a138-005056b6f117#f72cc218-e140-11ee-8e0e-005056b6c1cd; 77c5d98e-b673-11f0-a138-005056b6f117#f72cc217-e140-11ee-8e0e-005056b6c1cd; 77c5d98e-b673-11f0-a138-005056b6f117#f72cc219-e140-11ee-8e0e-005056b6c1cd; 77c5d98e-b673-11f0-a138-005056b6f117#f72cc21a-e140-11ee-8e0e-005056b6c1cd
